T27,Gross domestic expenditure on research and development (R&D),,,,,
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Government (%),67.6091,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Higher education (%),0.8078,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Private non-profit (%),0.8885,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Funds from abroad (%),0.1616,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2223,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,Gross domestic expenditure on R & D: Business enterprises (%),32.1754,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,Gross domestic expenditure on R & D: Government (%),65.7568,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,Gross domestic expenditure on R & D: Higher education (%),0.4136,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2015,Gross domestic expenditure on R & D: Private non-profit (%),1.6543,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2064,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Business enterprises (%),29.9118,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Government (%),68.4844,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Higher education (%),1.4435,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2016,Gross domestic expenditure on R & D: Private non-profit (%),0.1604,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1847,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,Gross domestic expenditure on R & D: Business enterprises (%),32.0246,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,Gross domestic expenditure on R & D: Government (%),67.2055,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.6928,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2017,Gross domestic expenditure on R & D: Funds from abroad (%),0.0770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1848,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,Gross domestic expenditure on R & D: Business enterprises (%),30.7797,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,Gross domestic expenditure on R & D: Government (%),68.6780,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2018,Gross domestic expenditure on R & D: Private non-profit (%),0.5424,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1012,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,Gross domestic expenditure on R & D: Business enterprises (%),21.7692,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,Gross domestic expenditure on R & D: Government (%),41.4906,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,Gross domestic expenditure on R & D: Private non-profit (%),2.0002,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,Gross domestic expenditure on R & D: Funds from abroad (%),12.4416,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,Gross domestic expenditure on R & D: Not distributed (%),1.0772,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6785,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,Gross domestic expenditure on R & D: Business enterprises (%),21.2259,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,Gross domestic expenditure on R & D: Government (%),71.8521,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,Gross domestic expenditure on R & D: Higher education (%),0.6705,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,Gross domestic expenditure on R & D: Funds from abroad (%),6.2538,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7415,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2008,Gross domestic expenditure on R & D: Business enterprises (%),36.4999,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2008,Gross domestic expenditure on R & D: Government (%),57.5866,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2008,Gross domestic expenditure on R & D: Higher education (%),0.3097,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2008,Gross domestic expenditure on R & D: Private non-profit (%),0.0852,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2008,Gross domestic expenditure on R & D: Funds from abroad (%),5.5198,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6527,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,Gross domestic expenditure on R & D: Business enterprises (%),27.1023,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
